sc_point_gid,latitude,longitude,country,state,county,timezone,area_developable_sq_km,capacity_ac_mw,dist_spur_km,capacity_density
5019,48.8666096715444,-115.310840638182,United States,Montana,Lincoln,-7,0.930816018676758,2.47372282307257,48.834006460875,2.657585144042964
5020,48.8863325455989,-115.148071666115,United States,Montana,Lincoln,-7,21.3347790527344,55.9627359160152,34.1900454301961,2.6230754852294877
5021,48.9058913965819,-114.98518815293,United States,Montana,Lincoln,-7,26.7630407226563,69.7133762640016,29.7171817973109,2.604837656021112
5024,48.963581936646,-114.495858803973,United States,Montana,Flathead,-7,8.22610766601562,20.8183321042666,43.0634090503268,2.5307633876800595
5025,48.9824828268927,-114.332525582862,United States,Montana,Flathead,-7,0.230039996910095,0.582157825232119,74.4899480068934,2.530680894851689
5359,47.8513157570096,-121.674780110036,United States,Washington,Snohomish,-8,0.22795200920105,0.551080290958697,1.67007142674937,2.417527675628659
5369,48.10499763347,-120.095352544527,United States,Washington,Okanogan,-8,1.7045279296875,4.65047671633847,14.3724090758357,2.728307723999023
5370,48.1295035661125,-119.936639585278,United States,Washington,Okanogan,-8,13.9244932617188,37.7313834813836,7.1819090885901,2.7097132205963055
5371,48.1538518453427,-119.777789393417,United States,Washington,Okanogan,-8,23.3511767578125,62.8109700913704,2.48007142674936,2.6898417472839355
5372,48.1780422539005,-119.61880268408,United States,Washington,Okanogan,-8,52.513344140625,139.245428926656,2.30911688245431,2.6516199111938468
5373,48.2020745753826,-119.459680176701,United States,Washington,Okanogan,-8,56.6626719726563,148.937994528728,4.65551298552221,2.628502845764157
5374,48.2259485942543,-119.300422595009,United States,Washington,Okanogan,-8,36.2184380859375,95.1556843060782,11.6611688245431,2.6272718906402597
5375,48.24966409586,-119.141030667009,United States,Washington,Okanogan,-8,38.6458435546875,101.191883724474,21.4285908986555,2.618441581726065
5376,48.2732208664347,-118.981505124974,United States,Washington,Okanogan,-8,19.8626040527344,51.0522518044173,18.4985194719061,2.570269823074339
